doi,title,species,reason,si_url,is_open_access,date_added,status,notes
10.1016/j.ygcen.2025.114855,In silico analysis of the slipper lobster (Thenus australiensis) neuropeptidome,Thenus australiensis (NEW SPECIES),captcha,https://ars.els-cdn.com/content/image/1-s2.0-S0016648025001959-mmc3.xlsx,,2026-07-14,pending,
10.1021/acschemneuro.6c00123,Neuropeptide Diversity Encoded in Newly Sequenced Crustacean Genomes,C. sapidus; C. borealis,spreadsheet_only,https://pubs.acs.org/doi/suppl/10.1021/acschemneuro.6c00123/suppl_file/cn6c00123_si_003.xlsx,,2026-07-14,pending,
10.1101/2025.06.26.661634,HILIC-Enabled MS Discovery of Novel Endogenous and Glycosylated Neuropeptides in the American Lobster,Homarus americanus,spreadsheet_only,Table S1 (bioRxiv supplementary) - ~50 first-reported peptides + 24 glycopeptides,,2026-07-14,pending,
