title,authors,journal,year,doi,pmid,source_query
"A three-dimensional immunofluorescence atlas of the brain of the hackled-orb weaver spider, &lt;i&gt;Uloborus diversus&lt;/i&gt;.","Artiushin G, Corver A, Gordus A.",,2026,10.7554/elife.107732,41701008,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Saffron-derived crocin modulates growth, immunity, metabolism, antioxidant capacity, and disease resistance to Aeromonas hydrophila in the oriental river prawn (Macrobrachiumnipponense).","Ettefaghdoost M, Haghdoost A, Fadakar Masouleh F.",,2026,10.1016/j.dci.2026.105648,42264236,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
GAL4-based functional screen of neuropeptides in Drosophila reproduction.,"Sadanandappa MK, Marin C, Park S, Sathyanarayana SH, Bosco G.",,2026,10.1371/journal.pone.0345918,41894398,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Non-Linear Transcriptional Responses Suggest Mechanisms of Tributyltin Toxicity in Triops longicaudatus.,"Ferreira NGC, Chessa A, Abreu IO, Cable J, Lloyd-Evans E, Carvalho AP, Guimarães L, Kille P.",,2026,10.1016/j.envpol.2026.128735,42425285,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"CCAP receptor 2, rather than CCAPR1, functions in pupal ecdysis in the 28-spotted larger potato ladybird.","Wu YK, Wu N, Rao YH, Zheng WK, Sun MY, Jin L, Li GQ.",,2026,10.1111/1744-7917.70289,42003568,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
The combined effects of temperature and salinity on the stomatogastric nervous system of two species of decapod crustacea.,"Carrier KL, Romano N, Scaria LK, Palmer M, O'Leary RM, Marder E, Powell DJ.",,2026,10.1152/jn.00294.2025,41701669,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Bitter gustatory receptor modulates the immune response of Coptotermes formosanus against Metarhizium anisopliae.,"Chen W, Zhang S, Li Z.",,2026,10.1016/j.pestbp.2026.106940,41629009,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Molecular Identification of &lt;i&gt;HR97&lt;/i&gt; in the Swimming Crab &lt;i&gt;Portunus trituberculatus&lt;/i&gt; and Its Potential Involvement in Ovarian Development.,"Hou D, Bao Y, Chen Y, Zhou Q, Zhu X, Xie X, Zhu D.",,2026,10.3390/biology15040312,41744621,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Effects of Dietary Calcium and Magnesium Levels on the Growth Performance, Tissue Mineral Deposition, Exoskeleton Development, and Molting Performance of Chinese Mitten Crab (&lt;i&gt;Eriocheir sinensis&lt;/i&gt;).","Chen H, Liu W, Guo Y, Xiong S, Liu Z, Dong Y, Ye B, Xu L, Wang P, Li X.",,2026,10.1155/anu/4186013,41716910,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Untargeted mass spectrometry to investigate ocean acidification in &lt;i&gt;Cancer borealis&lt;/i&gt; using optimized metabolite extraction methods.,"Yao Y, Riusech O, Xu S, Li L.",,2026,10.1039/d5an00788g,41636650,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
