title,authors,journal,year,doi,pmid,source_query
Reproductive and metabolic hormone associations in adult Samoan males with and without obesity.,"Bribiescas RG, Wiley KS, Sancilio A, Panter-Brick CS, Viali S, Reupena MS, Naseri T, Hawley NL, Messerlian G, McGarvey ST.",,2026,10.1093/emph/eoag001,41890353,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Endogenous Therapeutic Agents for Acute Corneal and Ocular Surface Injuries.,"Reinhardt C, Ong J, Son KN, Aakalu VK.",,2026,10.1167/tvst.15.3.16,41848373,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
A coral-derived neuropeptide suppresses pentylenetetrazol (PTZ)-induced epileptic seizures and improves recognition memory deficits by modulating NPY-Y1R.,"Chen Q, Deng C, Huang X, Wang A, Xu N, Cao K, Yang M, Li S, Lu Q, Gong G, Lee SM.",,2026,10.1007/s00204-025-04164-3,41006718,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Evaluating the Impact of Two Different Diets on the Protein Profile of the Brain, Liver, and Intestine of the Barramundi.","Shatouri MM, Pirozzi I, Soker PD, Ali Z, Amirkhani A, Haynes PA.",,2026,10.3390/proteomes14010006,41718088,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Dehydroepiandrosterone (DHEA) as a tool for conservation.,Fokidis HB.,,2026,10.1007/s10661-026-15408-9,42126737,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Sm&lt;sub&gt;26.25&lt;/sub&gt;Ge&lt;sub&gt;22.75&lt;/sub&gt;O&lt;sub&gt;5&lt;/sub&gt;: Oxidic Sm&lt;sub&gt;30&lt;/sub&gt;Ge&lt;sub&gt;4&lt;/sub&gt;O&lt;sub&gt;5&lt;/sub&gt; Superclusters Embedded in a Zintl Polyanionic Framework.,"Mathew JS, Romaka V, Burkhardt U, Doert T, Hübner JM.",,2026,10.1021/acs.inorgchem.6c00775,41946578,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Unexpected Evolutionary Divergence of Tachykinin-Positive Neurons Innervating the Central Complex in Hexapods.,"Homberg U, Xu J, Keyser T, Suzdalenkov F, Wimmer F, Fromandi M, Bianco S, Tez M, Dippel S.",,2026,10.1002/cne.70142,41736508,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Psilocybin elicits a conserved glucocorticoid-responsive gene signature across five 5-HT2A receptor-rich brain regions in rat.,"Veysi A, Atanasovski D, Ardalan M, Motamed N, Eriksson E.",,2026,10.1017/neu.2026.10075,41958297,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Advances and Prospects in Odour-based Management of Filth Flies.,Baleba SBS.,,2026,10.1007/s10886-026-01705-7,42018030,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Pseudomonas plecoglossicida disrupts intestinal homeostasis through manipulation of palmitoleic acid microbial metabolism.,"Huang L, Wang J, Li Q, He R, Qi W, Gao Q, Zuo Y, Yan Q.",,2026,10.1038/s41522-026-00963-3,41876561,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Suppression of transgenerational lipid provisioning inhibits desiccation resistance, but not diapause, in the vector mosquito, Aedes albopictus.","Heilig M, Edwards MJ, Armbruster PA.",,2026,10.1038/s41598-026-42116-8,41826381,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Microglia Rank signaling regulates GnRH neuronal function and the hypothalamic-pituitary-gonadal axis.,"Collado-Sole A, Borjini N, Zhai J, Ruiz-Pino F, Soria-Alcaide G, Folgueira C, García-Vilela C, Romero-de la Rosa B, Lopez V, Zouaghi Y, Jacobs A, Mora-Romero B, Barranco A, Yoldi G, Rizzoti K, Sabio G, Perez-Chacon G, Santamaria PG, Esteban JA, Journiac N, Prevot V, Pascual A, Fernández-Chacón R, Tena-Sempere M, Pitteloud N, Gonzalez-Suarez E.",,2026,10.1126/science.aeb6999,41818388,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Foodborne Carbon Dots Trigger Appetite Suppression: Mechanistic Insights from the Microbiota-Gut-Brain Axis.,"Lei C, Liang R, Cheng B, Cao X, Zhang J, Wang C, Wang Z.",,2026,10.1021/envhealth.5c00304,42164875,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Dynamic emotion fabric theory: a new framework for understanding the biology of flexible emotion states.,"Sturm VE, Seeley WW.",,2026,10.1093/scan/nsag014,41830154,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Taurine-driven chemotaxis and metamorphosis in ascidian tadpole larvae.,"Yang LK, Qin Q, Zhang J, Zhang Z, Yu H, Zhao C, Dong B.",,2026,10.1126/sciadv.aeb9574,41719385,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
The future of Forkhead box O transcription factors.,"Huang H, Gui T, Burgering BM.",,2026,10.1042/bcj20253428,41631821,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Chronic attenuation of brain leptin signalling is associated with early metabolic dysfunction in lean rats.,"Pintado C, Mazuecos L, Gómez-Torres Ó, Merino B, Casanueva-Álvarez E, Rubio B, Burgos-Ramos E, Artigas-Jerónimo S, Moltó E, Ramos IM, Poveda JM, Perdomo G, Cózar-Castellano I, Arribas C, Bernal-Mizrachi E, Andrés A, Gallardo N.",,2026,10.1113/jp290832,42097975,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
ParaHox Genes Revisited: From Gut Patterning to Integrated Axial and Neural Organization in Rotifera.,"Fröbius AC, Mark Welch DB, Herlyn H.",,2026,10.1002/jez.b.70019,41834279,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Changes in Hedonic Hunger and Problematic Eating Behaviors Following Bariatric Surgery: A Comparative Study of Roux-en-Y Gastric Bypass Versus Sleeve Gastrectomy.,"Yilmaz CS, Turker PF.",,2026,10.3390/healthcare14010127,41517058,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Peptides as a Therapeutic Alternative Against Leishmaniasis: A Scoping Review.,"da Veiga Oliveira ME, Dyminski Parente Ribeiro E, Guenther OHP, Tomiotto-Pellissier F.",,2026,10.1111/cbdd.70314,42152245,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
The collapse of the food matrix: how ultra-processed foods impact satiety and metabolism by altering physical structure beyond nutrient composition.,"Wang X, Chen H, Xu Y, Xu Q, Cui H, Liu F.",,2026,10.3389/fnut.2026.1737280,42163955,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Naming the alpha-2-macroglobulin gene family across vertebrates.,"Braschi B, Seal RL, Bruford EA.",,2026,10.1186/s40246-026-00909-y,41527088,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Clinical and genetic basis of congenital gonadotropin deficiency.,"Wang Y, Zhai J, Habibi I, Kolesińska Z, de Azevedo Correa F, Zouaghi Y, Ameti A, Boizot A, Perdices-López C, Todisco T, Niederländer NJ, Acierno JS, Messina A, Santoni F, Pitteloud N.",,2026,10.1093/hropen/hoag017,41873429,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Effects of rapeseed protein on growth performance, nutrient digestibility, nitrogen balance, serum parameters, and intestinal health of piglets.","Du Z, Xu H, Sang N, Zhao Y, Zheng P, Wang H, Wang Q, Chen D, Yu B.",,2026,10.1016/j.aninu.2025.09.004,41704247,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
A framework for the safety evaluation of peptides in cosmetics.,"Bjerke DL, Li J, Gao Y, Hu P, Lintner K, Hakozaki T.",,2026,10.1016/j.crtox.2026.100291,41953401,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
A transcriptome analysis revealing the molecular mechanism of light intensity-driven color variation in the skin of Chinese giant salamander (Andrias davidianus).,"Jing Z, Chen B, Luo Q, Zhou X, Zhou S, Wang P.",,2026,10.1186/s12864-026-12844-2,42002759,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Control of Covalent Bond Enables Efficient Magnetic Cooling.,"Tang X, Miura Y, Terada N, Xiao E, Kobayashi S, Döring A, Tadano T, Martin-Cid A, Ohkochi T, Kawaguchi S, Matsushita Y, Ohkubo T, Nakamura T, Skokov K, Gutfleisch O, Hono K, Sepehri-Amin H.",,2026,10.1002/adma.202514295,41410163,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Research progress of blood-brain barrier penetrating and brain diseases therapy by natural biopolymer - based nanomedicine delivery systems.,"Qin L, Wang X, Liang T, Bi Y, Guo Z, Li W, Liang W.",,2026,10.1016/j.mtbio.2026.102849,41660118,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Integrating single cell- and spatial- resolved transcriptomics unravels the inter-tumor heterogeneity and immunosuppressive landscape in HBV- and Clonorchis sinensis-associated hepatocellular carcinoma.,"Chen J, Lu W, Lou Y, Liu J, Liao X, Bai Y, Cheng G, Zhu G, Feng J, Liu J, Liu Z, Jia L, Zhou J, Peng T, Lu GD, Wang J.",,2026,10.1186/s12943-025-02381-z,41491521,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Density-Dependent Expression of Epitranscriptomic, Stress and Appetite Regulating Genes in Atlantic Salmon.","Frapin M, Quispe L, Troka J, Prokkola JM, Laurikainen O, Hyvärinen P, Primmer CR, Aykanat T, Ahi EP.",,2026,10.1111/mec.70230,41482736,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Conkazal-M1 from the MKAVA family of conotoxins: A dual-function protease inhibitor and neuroactive peptide.,"Hackney CM, Koch TL, Ryding NL, Rogalski A, Chase K, Giglio ML, Espino SS, Acyatan ZG, Watkins M, Olivera BM, Safavi-Hemami H, Teilum K, Ellgaard L.",,2026,10.1002/pro.70580,42017756,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Dietary variations drive divergent phenotypic, transcriptomic, and metatranscriptomic profiles in Biomphalaria glabrata, a schistosomiasis vector snail.","Famakinde DO, Lonergan C, Wells D, Gobert GN, McVeigh P.",,2026,10.1186/s13071-026-07403-3,42063119,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Multi-tissue transcriptomic aging atlas reveals predictive aging biomarkers in the killifish.,"Costa EK, Chen J, Guldner IH, Mboning L, Schmahl N, Tsenter A, Nagvekar R, Wu MR, Moran-Losada P, Bouchard LS, Wang S, Singh PP, Pellegrini M, Brunet A, Wyss-Coray T.",,2026,10.1038/s43587-026-01074-6,41776309,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Developmental and tissue-specific expression of thyrotropin-releasing hormone signaling genes in zebrafish and its association with glycemic regulation.,"Díaz-Ortegón D, Orozco A, Pech-Pool SM, García-Gutierrez MC, Lazcano I.",,2026,10.1242/bio.062418,41773038,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Early Nutritional Programing: Unlocking the Potential of Fish for Sustainable Aquaculture.,"Kumar S, Banik A, Dubey MK, Srivastava PP, Sandor ZJ.",,2026,10.1155/anu/3380126,41550912,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
<i>Lacticaseibacillus rhamnosus</i> CU262 Attenuates High-Fat Diet-Induced Obesity via Gut-Liver Axis Reprogramming.,"Guo H, Pan L, Wang L, Huang Z, Wu Q, Wang J, Liao Z.",,2026,10.3390/foods15020332,41596930,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Genomics Insights Into High-Latitude Adaptation of Tibetan Macaques.,"Zhang R, Hu Y, Teng Y, Qi J, Ciren Y, Zhang L, Du Q, Xu W, Zhou L, Fan Z, Xing J, Li M, Li J.",,2026,10.1002/advs.202511401,41636699,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Neurophysiological and Behavioral Effects of Micro- and Nanoplastics in Aquatic Organisms.,"Belanger RM, Storks L.",,2026,10.3390/ani16060941,41897917,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Identification of Preclinical Biomarkers of Metabolic Dysfunction-Associated Steatotic Liver Disease versus Metabolic Dysfunction and Alcohol-Associated Liver Disease and the Impact of Diet.,"Gripshover TC, Treves RS, Hardesty JE.",,2026,10.1016/j.ajpath.2025.05.013,40516914,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Brain-derived estrogens facilitate male-typical behaviors by potentiating androgen receptor signaling in medaka.,"Nishiike Y, Maki S, Miyazoe D, Nakasone K, Kamei Y, Todo T, Ishikawa-Fujiwara T, Ohno K, Usami T, Nagahama Y, Okubo K.",,2026,10.7554/elife.97106,41527437,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Decoding Neuropeptide Complexity: Advancing Neurobiological Insights from Invertebrates to Vertebrates through Evolutionary Perspectives.,"Fields L, Dang TC, Tran VNH, Ibarra AE, Li L.",,2025,10.1021/acschemneuro.5c00053,40261092,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Characterization of a crustacean hyperglycemic hormone of the horsehair crab Erimacrus isenbeckii.,"Toyota K, Kajimoto A, Ando Y, Takeuchi K, Ohira T.",,2025,10.1016/j.ygcen.2025.114777,40623600,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Physiology of Ovarian Development in Crustaceans: Interactions Among Hormones, Nutrients, and Environmental Factors From Integrated Perspectives.","Dildar T, Cui W, Ma H.",,2025,10.1155/anu/4900891,41368617,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Transcriptomics and Neuropeptidomics of the Cockroach &lt;i&gt;Rhyparobia maderae&lt;/i&gt; to Characterize the Neuropeptide Landscape of the Cockroach's Circadian Clock.,"Neupert S, Shoaib SH, Schendzielorz J, Zolmon H, Hering L, Stengl M.",,2025,10.1021/acs.jproteome.4c01069,41144767,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Brain morphology in the peracarid crustacean Neomysis integer (Leach, 1814) with an emphasis on sexual dimorphism of the olfactory pathway.","Kümmerlen K, Blatt J, Hoffmann L, Harzsch S.",,2025,10.1007/s00441-025-03978-y,40366435,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
Characterization of a crustacean hyperglycemic hormone of the horsehair crab  <i>Erimacrus isenbeckii</i>,"Toyota K, Kajimoto A, Ando Y, Takeuchi K, Ohira T.",,2025,10.1101/2025.04.26.650751,,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
"Crustacean cardioactive peptide (CCAP) negatively regulates sand-diving behaviour in kuruma shrimp, Penaeus japonicus.","Zhou X, Yu J, Zhang H, Zhang Y, Wang P, Xu J, Yu F, Zhang J, Zhang Q, Baloch WA, Gao H.",,2025,10.1016/j.cbpb.2025.111143,40812679,"(neuropeptide OR neuropeptidome OR peptidome OR ""peptide hormone"" OR allatostatin OR RFamide OR orcokinin OR ""crustacean cardioactive peptide"" OR ""crustacean hyperglycemic hormone"") AND (crustacean OR decapod OR crab OR lobster OR crayfish OR shrimp OR Crustacea) AND (FIRST_PDATE:[2025-01-01 TO 3000-12-31])"
